,live_tree_density,LAI_sum,LAI_win,RWC,aspect_mean,aspect_std,canopy_height,cwd,dominant_leaf_habit,elevation_mean,elevation_std,forest_cover,ppt_sum,ppt_win,tmax_sum,tmax_win,tmean_sum,tmean_win,vpdmax_sum,vpdmax_win,EVP_sum,PEVAP_sum,EVP_win,PEVAP_win,vsm_sum,vsm_win
15,4.67996706569,0.54936235708,0.498471855761,0.724711316397,185.468600353,93.5534461322,4.12,837.31,deciduous,1034.63666667,120.243476099,1.0,2.64,320.52,31.5733333333,15.6,21.0,8.62666666667,36.4234782609,12.0333333333,134.6125,956.504,51.7535,386.642,0.0767487179487,0.0992936170213
16,3.22665661633,0.529661389622,0.600340809147,0.925635103926,185.468600353,93.5534461322,4.12,687.217,deciduous,1034.63666667,120.243476099,1.0,21.48,202.52,32.3333333333,15.0933333333,21.92,7.90666666667,38.0208695652,12.5462222222,151.047,947.853,49.5235,423.118,0.131811904762,0.122584375
17,3.22665661633,0.50516710642,0.620657431838,0.777829099307,185.468600353,93.5534461322,4.12,923.436,deciduous,1034.63666667,120.243476099,1.0,37.28,158.36,32.6133333333,16.56,22.9333333333,8.73333333333,38.3504347826,14.2637362637,111.1885,920.361,53.8965,450.0155,0.100662962963,0.140408823529
18,0.0,0.460422163588,0.466974494283,0.664665127021,185.468600353,93.5534461322,4.12,956.017,deciduous,1034.63666667,120.243476099,1.0,88.04,132.84,31.6133333333,16.1333333333,22.2133333333,8.45333333333,36.6673913043,14.3457777778,78.6815,886.5155,43.8955,446.7945,0.0700342857143,0.0934482758621
19,2.2227004547,0.392205364996,0.456717238347,0.391570438799,185.468600353,93.5534461322,4.12,1143.346,deciduous,1034.63666667,120.243476099,1.0,26.04,97.16,31.32,19.4266666667,22.0666666667,11.0533333333,34.8447826087,18.5168888889,64.414,862.6815,43.158,511.8455,0.0688852941176,0.0877681818182
20,0.0,0.455189094107,0.590006596306,0.773210161663,185.468600353,93.5534461322,4.12,917.6024,deciduous,1034.63666667,120.243476099,1.0,57.56,90.76,30.96,19.1333333333,21.76,11.2533333333,33.6913043478,17.992,93.3715,896.057,51.9665,451.041,0.0732155555556,0.0785833333333
21,0.0,0.454964773228,0.609015852048,0.417551963048,185.213930624,106.488843919,7.68,1035.80825,deciduous,370.155555556,172.298856068,0.8,4.94444444444,111.833333333,32.7592592593,20.4351851852,24.5092592593,13.2314814815,35.0942028986,16.2450617284,61.14725,792.113,70.63875,420.95775,0.0786914893617,0.0959268292683
22,0.0,0.529689564069,0.639861294584,0.0,185.213930624,106.488843919,7.68,863.156,deciduous,370.155555556,172.298856068,0.8,0.527777777778,256.0,30.3055555556,19.3981481481,22.2962962963,12.7685185185,29.3118961353,13.9209876543,111.553,760.1585,77.38,401.655,0.134271428571,0.1026
23,4.54795417859,0.548117569353,0.727311756935,0.00599334804228,185.213930624,106.488843919,7.68,797.856,deciduous,370.155555556,172.298856068,0.8,6.05555555556,183.944444444,30.6666666667,18.8333333333,22.8148148148,12.0555555556,29.9278381643,14.2824074074,123.2465,771.26275,75.47875,398.646,0.145228571429,0.09385
24,4.54795417859,0.484566270365,0.652972258917,0.776566667764,185.213930624,106.488843919,7.68,1046.683,deciduous,370.155555556,172.298856068,0.8,3.72222222222,125.444444444,32.5740740741,20.3333333333,24.6018518519,12.9259259259,34.4139492754,16.7615995116,47.7415,795.42325,63.35925,449.74625,0.0999653846154,0.26965
25,0.0,0.419572875385,0.527201673272,0.723877893766,185.213930624,106.488843919,7.68,956.017,deciduous,370.155555556,172.298856068,0.8,3.33333333333,115.972222222,31.037037037,19.5648148148,23.4351851852,12.1944444444,30.1005434783,16.0049382716,28.8955,730.33775,58.2375,441.85175,0.102072340426,0.0962172413793
26,4.54795417859,0.378577719066,0.387120211361,0.721572759904,185.213930624,106.488843919,7.68,1248.421,deciduous,370.155555556,172.298856068,0.8,13.3333333333,78.7777777778,32.1759259259,22.4907407407,24.5740740741,15.0648148148,33.2717391304,20.5648148148,28.11775,728.99475,32.9795,468.1515,0.103294230769,0.1071
