,FAM,live_basal_area,LAI_sum,LAI_win,aspect_mean,aspect_std,canopy_height,CWD,elevation_mean,elevation_std,forest_cover,ppt_sum,ppt_win,tmax_sum,tmax_win,tmean_sum,tmean_win,vpdmax_sum,vpdmax_win,EVP_sum,PEVAP_sum,EVP_win,PEVAP_win,vsm_sum,vsm_win,location,silt_fraction,sand_fraction,twi
40,0.00533533162864,8.56431018965,1.08046171171,0.746036036036,181.90534712,103.32661807,21.6,1160.70591667,738.184444444,399.06878185,0.96,0.416666666667,207.916666667,31.1111111111,20.3611111111,22.962962963,13.4537037037,33.6995772947,17.8734567901,16.58775,826.3465,83.089,460.95725,0.187313793103,0.211305454545,29,37.0,38.0,316
41,0.0149146766421,6.9205933403,0.957567567568,1.33042792793,181.90534712,103.32661807,21.6,1091.8185625,738.184444444,399.06878185,0.96,15.5277777778,70.3055555556,30.8888888889,20.7685185185,23.0648148148,14.1203703704,32.6403985507,17.4435185185,23.4375,794.03075,120.4465,430.89225,0.179655172414,0.222656363636,29,37.0,38.0,316
42,0.000324996819635,6.00648727618,0.949651841869,0.786365678347,178.545478738,101.661388081,25.16,928.381025641,1082.58,353.829813517,1.0,0.527777777778,249.222222222,32.5833333333,15.4351851852,23.462962963,9.27777777778,41.4450483092,12.6808641975,21.5975,901.60475,145.3745,398.145,0.1657375,0.186183606557,30,37.0,38.0,227
43,0.0168998333598,5.90388209205,1.23213162624,0.909961814915,178.545478738,101.661388081,25.16,683.93752381,1082.58,353.829813517,1.0,0.5,463.083333333,30.9444444444,15.1111111111,21.8703703704,8.69444444444,35.996678744,11.7598765432,30.7815,864.746,138.077,363.57325,0.1687921875,0.208168965517,30,37.0,38.0,227
44,0.0044416230125,9.06716228999,1.34153189578,0.929649595687,178.545478738,101.661388081,25.16,691.4475,1082.58,353.829813517,1.0,2.44444444444,477.694444444,31.6018518519,14.8518518519,21.7777777778,8.61111111111,36.9541062802,12.1395061728,47.41725,846.4675,132.53575,353.89225,0.184061290323,0.203333333333,30,37.0,38.0,227
46,0.000649993639269,5.90388209205,0.902268643306,0.904739442947,178.545478738,101.661388081,25.16,1048.61842857,1082.58,353.829813517,1.0,1.41666666667,91.5,32.0462962963,15.8055555556,23.1944444444,9.2962962963,38.5398550725,13.6222222222,10.56225,872.711,115.4755,437.37325,0.18366440678,0.219869642857,30,37.0,38.0,227
47,0.00509161652565,6.72468313835,1.04581087152,0.648438903863,178.545478738,101.661388081,25.16,1107.88564286,1082.58,353.829813517,1.0,1.27777777778,256.527777778,32.1388888889,18.6203703704,23.1851851852,11.9259259259,38.5307971014,17.2401234568,13.742,864.846,92.71825,480.9245,0.175853448276,0.200358181818,30,37.0,38.0,227
48,0.0101832330513,6.454875084,0.972517969452,0.995417789757,178.545478738,101.661388081,25.16,1044.16628125,1082.58,353.829813517,1.0,28.7777777778,80.8333333333,31.0555555556,18.9537037037,23.0462962963,12.8703703704,35.148852657,16.587037037,27.04325,831.04375,144.59275,447.8775,0.170487931034,0.216907272727,30,37.0,38.0,227
49,0.000124634506153,7.90641660315,1.09617117117,0.953682432432,179.787751474,100.457868369,19.76,924.165122449,1322.25111111,259.896640244,1.0,0.694444444444,245.833333333,32.0277777778,14.2685185185,22.4907407407,7.62962962963,41.2602657005,12.0851851852,50.133,888.64625,85.41075,384.823,0.13288852459,0.157122580645,31,21.0,67.0,304
50,0.00124634515221,7.90383148734,1.34733108108,0.916328828829,179.787751474,100.457868369,19.76,683.487306122,1322.25111111,259.896640244,1.0,0.0,433.611111111,30.5462962963,13.75,21.0648148148,6.99074074074,35.839673913,10.8361111111,72.8625,854.208,87.41225,347.31575,0.140211111111,0.180221428571,31,21.0,67.0,304
51,0.000124634506153,9.75871292713,1.43471846847,1.0044481982,179.787751474,100.457868369,19.76,678.852708333,1322.25111111,259.896640244,1.0,16.1944444444,477.75,30.9537037037,13.6944444444,21.1759259259,6.81481481481,36.6899154589,11.3395061728,88.9065,834.825,86.909,343.609,0.155655,0.184505660377,31,21.0,67.0,304
53,0.00236805571666,7.90641660315,0.912916666667,0.905439189189,179.787751474,100.457868369,19.76,1058.82142857,1322.25111111,259.896640244,1.0,6.02777777778,99.0833333333,31.5833333333,15.1944444444,22.5185185185,7.7037037037,39.413647343,13.6888888889,37.079,857.2245,92.9435,424.23125,0.145898245614,0.180662711864,31,21.0,67.0,304
54,0.021686404923,10.6250410704,1.11255630631,0.653772522523,179.787751474,100.457868369,19.76,1055.78056522,1322.25111111,259.896640244,1.0,3.30555555556,285.083333333,31.3796296296,18.2314814815,22.4444444444,10.5648148148,37.8351449275,17.4444444444,54.321,846.83775,69.0775,464.64925,0.140447368421,0.162081818182,31,21.0,67.0,304
55,0.0479842858211,7.55517452695,1.02002252252,1.0028490991,179.787751474,100.457868369,19.76,1038.444,1322.25111111,259.896640244,1.0,51.7777777778,89.75,30.5092592593,18.5648148148,22.1851851852,11.4907407407,34.5872584541,16.9262345679,67.684,819.353,113.677,434.1645,0.136970689655,0.171448275862,31,21.0,67.0,304
56,0.00421946109185,10.3908509144,0.765229110512,0.743059299191,169.240865621,100.171745769,19.08,936.326,1173.35444444,375.746149433,1.0,0.0833333333333,193.666666667,31.9259259259,14.1944444444,23.7222222222,8.44444444444,39.7545289855,11.8641975309,24.365,1037.1315,102.688,426.02025,0.07135,0.090775,33,20.0,67.0,236
57,0.00204167468097,7.98123389509,0.883243486074,0.693587151842,169.240865621,100.171745769,19.08,730.723777778,1173.35444444,375.746149433,1.0,0.0,311.305555556,30.2314814815,13.9259259259,22.1388888889,8.2037037037,34.6228864734,10.8651234568,39.68475,984.5645,98.427,360.6305,0.0738434782609,0.0953525,33,20.0,67.0,236
58,0.00449168423476,8.53048825886,0.942565139263,0.726314016173,169.240865621,100.171745769,19.08,727.827692308,1173.35444444,375.746149433,1.0,4.27777777778,342.25,30.6481481481,13.5185185185,22.6574074074,7.47222222222,35.8680555556,11.0410493827,58.2,970.16675,101.10175,362.9035,0.0886,0.0995230769231,33,20.0,67.0,236
59,0.00394723763204,7.8454395528,0.817037286613,0.703346810422,169.240865621,100.171745769,19.08,1004.01742857,1173.35444444,375.746149433,1.0,4.02777777778,144.138888889,32.2314814815,15.4537037037,24.3518518519,9.02777777778,40.5338164251,13.8528693529,27.8045,1009.482,47.9585,443.153,0.10144516129,0.17349,33,20.0,67.0,236
60,0.0006805582534,6.48803285493,0.634827044025,0.63560197664,169.240865621,100.171745769,19.08,1122.94479487,1173.35444444,375.746149433,1.0,2.33333333333,79.8888888889,31.3518518519,15.1111111111,23.5,8.88888888889,38.0615942029,14.1935185185,15.25225,989.76625,78.63025,441.54025,0.108550877193,0.130832142857,33,20.0,67.0,236
61,0.0108889320544,9.06550398474,0.76572327044,0.461994609164,169.240865621,100.171745769,19.08,1141.07725,1173.35444444,375.746149433,1.0,2.47222222222,191.805555556,31.287037037,18.0925925926,23.4537037037,11.5,37.0132850242,17.2490740741,21.7465,987.98675,71.02825,490.28925,0.114225,0.123883928571,33,20.0,67.0,236
62,0.0396084896348,6.51880208925,0.724741689128,0.774225067385,169.240865621,100.171745769,19.08,1092.72078788,1173.35444444,375.746149433,1.0,64.5277777778,68.5,30.2962962963,18.9074074074,22.8518518519,12.5740740741,33.4486714976,17.275617284,53.175,955.00875,108.80025,442.431,0.111119298246,0.135712727273,33,20.0,67.0,236
63,0.00012200626804,5.23631056136,0.857218468468,0.901126126126,180.138356767,102.521215406,20.8,979.4791875,932.425555556,304.620849969,1.0,0.0,184.638888889,32.8796296296,14.6481481481,25.2685185185,9.72222222222,41.4447463768,12.0935185185,28.07525,1000.44475,98.7915,419.94675,0.0495714285714,0.0803947368421,34,20.0,68.0,280
64,0.00012200626804,7.5569436164,0.967297297297,0.922522522523,180.138356767,102.521215406,20.8,810.37075,932.425555556,304.620849969,1.0,0.861111111111,318.861111111,31.0833333333,14.5740740741,23.6203703704,9.5,36.0960144928,11.4416666667,48.30025,955.69975,97.00375,357.362,0.0565102564103,0.0877655172414,34,20.0,68.0,280
65,0.00012200626804,5.49825926755,1.03726351351,0.848108108108,180.138356767,102.521215406,20.8,738.704888889,932.425555556,304.620849969,1.0,9.33333333333,291.527777778,31.6574074074,14.037037037,24.2037037037,8.75925925926,37.8285024155,11.4061728395,61.6915,938.3475,102.35475,370.9255,0.06207,0.0717852941176,34,20.0,68.0,280
66,0.00024401253608,5.11155414566,0.845,0.776677927928,180.138356767,102.521215406,20.8,1013.97215385,932.425555556,304.620849969,1.0,2.02777777778,134.166666667,33.2314814815,16.2592592593,25.6388888889,10.5092592593,42.6835748792,14.6868131868,29.02225,981.15725,45.34725,436.24875,0.0875315789474,0.142288571429,34,20.0,68.0,280
67,0.000488025072161,6.18969358104,0.584662162162,0.664391891892,180.138356767,102.521215406,20.8,1169.53054545,932.425555556,304.620849969,1.0,2.72222222222,66.8888888889,32.1851851852,15.8425925926,24.6944444444,10.212962963,39.3088768116,15.1188271605,14.30025,948.901,50.0735,430.92225,0.083901754386,0.1079125,34,20.0,68.0,280
68,0.00805241385044,7.13035610499,0.736373873874,0.427364864865,180.138356767,102.521215406,20.8,1184.543875,932.425555556,304.620849969,1.0,1.66666666667,148.027777778,32.1851851852,19.0185185185,24.75,13.0740740741,38.476147343,18.137962963,19.02925,953.7245,57.9585,476.8235,0.09019,0.103950877193,34,20.0,68.0,280
69,0.00951648888938,4.68714762159,0.67009009009,0.822916666667,180.138356767,102.521215406,20.8,1124.95541176,932.425555556,304.620849969,1.0,58.1944444444,66.1944444444,31.0648148148,19.4537037037,24.0277777778,13.7685185185,34.5564613527,17.7592592593,51.978,917.23575,90.7225,435.4615,0.0877694915254,0.110383636364,34,20.0,68.0,280
70,0.000123834252151,7.50673625536,0.782283197832,1.0928071364,186.748067001,101.036548518,19.8,1067.57248649,551.388888889,208.670122146,0.84,1.0,169.333333333,32.4444444444,17.5833333333,23.7407407407,11.6111111111,37.4673913043,13.2132716049,24.40725,908.778,118.95125,378.27925,0.138177777778,0.160362903226,37,37.0,38.0,277
71,0.000123834252151,8.06815720723,0.902822944896,1.11073848238,186.748067001,101.036548518,19.8,807.137714286,551.388888889,208.670122146,0.84,0.555555555556,286.5,30.1574074074,17.0648148148,21.8055555556,11.2777777778,31.2143719807,11.5098765432,43.361,862.365,127.02175,360.89625,0.146796875,0.1763,37,37.0,38.0,277
74,0.000371502783484,7.41727756448,0.769749322493,1.03934056007,186.748067001,101.036548518,19.8,1145.81243333,551.388888889,208.670122146,0.84,0.0,84.0833333333,30.7407407407,18.1666666667,22.8055555556,11.5648148148,32.6074879227,13.6438271605,10.1215,901.40325,108.12675,422.161,0.161457377049,0.188232727273,37,37.0,38.0,277
75,0.00433419906856,6.94772191213,0.722165763324,0.56304200542,186.748067001,101.036548518,19.8,1239.21183333,551.388888889,208.670122146,0.84,0.0,130.027777778,31.0555555556,20.5555555556,23.1203703704,13.8240740741,32.6811594203,17.187962963,8.16175,876.5775,49.84625,470.31925,0.156944067797,0.180574545455,37,37.0,38.0,277
76,0.0215471607212,7.43837547384,0.619094399277,1.07040424571,186.748067001,101.036548518,19.8,1177.74818519,551.388888889,208.670122146,0.84,14.7777777778,59.8055555556,30.9259259259,20.9074074074,23.1481481481,14.4074074074,32.6032608696,16.7682098765,17.68225,862.38,89.02175,429.35325,0.152226666667,0.192978181818,37,37.0,38.0,277
77,0.000242915071967,5.47789165107,0.725585585586,0.794673423423,176.298561795,108.015649682,21.12,1013.59578378,939.213333333,273.360057718,1.0,1.41666666667,195.083333333,33.2777777778,15.0,24.5740740741,9.18518518519,43.0782004831,11.8262345679,34.01775,951.11675,100.29975,355.71775,0.134403225806,0.176926666667,38,21.0,67.0,164
78,0.000121457535983,6.21644271218,0.874662162162,0.700135135135,176.298561795,108.015649682,21.12,767.337461538,939.213333333,273.360057718,1.0,0.444444444444,311.694444444,31.5555555556,14.4537037037,22.8425925926,8.73148148148,37.0661231884,10.4388888889,48.58275,898.5035,106.86975,337.8005,0.1403546875,0.195906779661,38,21.0,67.0,164
79,0.000364372634462,6.00265155353,0.924560810811,0.813029279279,176.298561795,108.015649682,21.12,718.315,939.213333333,273.360057718,1.0,6.61111111111,356.888888889,32.4351851852,14.3055555556,23.4722222222,8.47222222222,38.9764492754,11.0216049383,66.42825,885.0325,103.73575,336.4475,0.150581967213,0.191816666667,38,21.0,67.0,164
80,0.000364372634462,5.76933859061,0.841126126126,0.681880630631,176.298561795,108.015649682,21.12,1004.09953846,939.213333333,273.360057718,1.0,1.83333333333,158.166666667,33.0833333333,16.2407407407,24.787037037,9.82407407407,41.0392512077,13.9026251526,35.571,933.90025,77.42775,412.20075,0.155488636364,0.304135714286,38,21.0,67.0,164
81,0.000121457535983,5.6097184089,0.667207207207,0.648592342342,176.298561795,108.015649682,21.12,1122.39025,939.213333333,273.360057718,1.0,0.305555555556,81.6944444444,32.2407407407,15.7222222222,23.9722222222,9.32407407407,38.6129227053,12.9280864198,18.06825,922.125,102.30225,411.3895,0.144757627119,0.195545454545,38,21.0,67.0,164
82,0.00121457544821,4.71833721041,0.628355855856,0.446948198198,176.298561795,108.015649682,21.12,1144.102,939.213333333,273.360057718,1.0,0.0,136.583333333,32.6481481481,18.5092592593,24.0555555556,11.7962962963,40.246678744,16.9114197531,13.58025,914.55325,51.8335,463.2685,0.139572413793,0.174832727273,38,21.0,67.0,164
83,0.0185830035799,5.52130335629,0.596463963964,0.693806306306,176.298561795,108.015649682,21.12,1143.40753846,939.213333333,273.360057718,1.0,15.1666666667,60.1111111111,31.3981481481,18.6203703704,23.7222222222,12.75,36.4006642512,15.6592592593,33.00725,883.51925,85.3975,432.1,0.131575862069,0.186594545455,38,21.0,67.0,164
91,0.000142105199734,11.2465957036,1.01085034014,1.29717687075,187.115525322,99.5729250635,18.08,1067.96353846,345.414444444,149.493821545,0.92,0.0,155.111111111,30.9722222222,18.6388888889,21.6018518519,11.7962962963,33.2213164251,14.0077160494,15.50325,907.192,110.04725,360.972,0.148375806452,0.174843548387,46,34.0,32.0,379
92,0.000142105199734,9.1031165717,1.14083900227,1.47955782313,187.115525322,99.5729250635,18.08,734.166825,345.414444444,149.493821545,0.92,0.388888888889,309.166666667,28.3333333333,17.787037037,19.7222222222,11.6018518519,26.25,11.625,28.004,851.882,128.08075,324.11875,0.1707015625,0.190418333333,46,34.0,32.0,379
93,0.00113684159787,9.63985956302,1.14496598639,1.27886621315,187.115525322,99.5729250635,18.08,715.349296296,345.414444444,149.493821545,0.92,3.22222222222,318.722222222,28.4814814815,17.3611111111,20.4074074074,11.1111111111,26.1757246377,11.9425925926,35.8155,854.00525,118.129,317.959,0.168233870968,0.195009090909,46,34.0,32.0,379
95,0.000142105199734,8.64217013932,0.994591836735,1.27488662132,187.115525322,99.5729250635,18.08,1092.87185714,345.414444444,149.493821545,0.92,0.0,83.1111111111,29.1574074074,19.2592592593,20.8148148148,11.7962962963,28.5908816425,14.5070987654,6.67025,914.25025,107.25675,374.50475,0.176460344828,0.198289090909,46,34.0,32.0,379
96,0.000142105199734,10.7585555703,0.85164399093,0.726292517007,187.115525322,99.5729250635,18.08,1217.3435,345.414444444,149.493821545,0.92,0.333333333333,116.5,29.1574074074,21.0833333333,21.2685185185,13.5462962963,25.875,17.5361111111,5.444,868.73875,42.40175,420.5525,0.182993442623,0.190209090909,46,34.0,32.0,379
97,0.00895262782107,8.41675002604,0.806598639456,1.30459183673,187.115525322,99.5729250635,18.08,1168.62659259,345.414444444,149.493821545,0.92,26.4166666667,56.4722222222,29.1388888889,21.7962962963,21.2592592593,13.9537037037,27.7569444444,17.3135802469,21.05875,867.6235,76.06925,389.99925,0.190146031746,0.223712727273,46,34.0,32.0,379
98,0.000134685754521,6.05260459019,0.727736318408,0.918407960199,182.775511134,102.480770877,18.48,1080.01810811,644.425555556,182.885762802,0.84,0.444444444444,167.055555556,34.212962963,16.5,24.8055555556,10.3518518519,44.4347826087,12.3290123457,16.8425,1019.6605,77.4315,352.58325,0.127716129032,0.167338333333,47,37.0,38.0,289
99,0.000134685754521,6.16020912949,0.892593848937,1.02928539123,182.775511134,102.480770877,18.48,753.531785714,644.425555556,182.885762802,0.84,0.222222222222,291.305555556,32.1388888889,15.8703703704,22.9537037037,10.2407407407,37.2427536232,10.500617284,41.39275,955.9525,107.5965,317.97325,0.1386546875,0.182161016949,47,37.0,38.0,289
100,0.000134685754521,5.51870417297,0.860029398462,0.951831750339,182.775511134,102.480770877,18.48,734.7958,644.425555556,182.885762802,0.84,8.11111111111,334.5,32.9537037037,15.462962963,23.962962963,9.65740740741,39.1838768116,10.8487654321,62.1625,953.18725,105.1995,306.529,0.145944262295,0.18418,47,37.0,38.0,289
101,0.000404057292963,6.09330472687,0.777227498869,0.732112166441,182.775511134,102.480770877,18.48,1057.71537931,644.425555556,182.885762802,0.84,0.444444444444,156.194444444,34.0092592593,17.3611111111,24.8333333333,10.7685185185,43.0410628019,14.076007326,24.735,1007.06125,62.5055,372.2795,0.154959183673,0.317861538462,47,37.0,38.0,289
102,0.000134685754521,5.95702543809,0.726820443238,0.880382180009,182.775511134,102.480770877,18.48,1115.22251163,644.425555556,182.885762802,0.84,0.0,84.1944444444,32.9259259259,17.4259259259,24.1944444444,10.712962963,39.7653985507,13.1777777778,16.58175,1002.99875,113.67525,367.3205,0.132124193548,0.178249090909,47,37.0,38.0,289
103,0.00121217180049,6.57595802219,0.61512890095,0.448903211217,182.775511134,102.480770877,18.48,1243.7114,644.425555556,182.885762802,0.84,0.0,127.75,33.3148148148,19.6759259259,24.5925925926,12.9166666667,40.7859299517,17.0984567901,11.8035,978.59775,40.47375,423.446,0.124466101695,0.160285714286,47,37.0,38.0,289
104,0.0273412100788,6.11392022864,0.607021709634,1.02468340118,182.775511134,102.480770877,18.48,1169.68985714,644.425555556,182.885762802,0.84,23.9166666667,64.5833333333,32.6666666667,19.962962963,24.4444444444,13.5277777778,38.9018719807,16.2058641975,35.8275,964.71425,95.69375,393.89975,0.119978333333,0.171310909091,47,37.0,38.0,289
126,0.00455712874497,33.4206218543,2.26577503429,1.39396433471,192.58816758,102.500673209,24.32,791.603806452,1540.41444444,431.141219984,1.0,0.222222222222,268.027777778,29.1203703704,11.7037037037,21.2592592593,6.07407407407,33.5163043478,9.31604938272,55.434,975.1775,79.1875,222.885,0.139817460317,0.170496721311,73,20.0,68.0,143
127,0.0719792658421,29.1947204081,2.44364426155,1.20177183356,192.58816758,102.500673209,24.32,682.373076923,1540.41444444,431.141219984,1.0,0.305555555556,375.333333333,28.537037037,11.6851851852,20.2592592593,6.18518518519,30.0298913043,8.64537037037,87.305,939.43375,71.994,203.079,0.145388888889,0.177624561404,73,20.0,68.0,143
128,0.0302640104911,25.2313706717,2.55229766804,1.23184727938,192.58816758,102.500673209,24.32,674.331204082,1540.41444444,431.141219984,1.0,9.36111111111,334.611111111,28.3796296296,11.6481481481,20.4444444444,5.77777777778,28.5600845411,8.76327160494,106.72475,912.13925,60.844,153.54675,0.143593333333,0.178189090909,73,20.0,68.0,143
129,0.0128534403289,25.2313706717,2.2048696845,1.50200045725,192.58816758,102.500673209,24.32,879.628244898,1540.41444444,431.141219984,1.0,1.86111111111,255.138888889,29.6574074074,13.3425925926,21.9722222222,7.16666666667,32.5129830918,10.702991453,39.562,980.32375,76.99125,310.01175,0.129082692308,0.139758823529,73,20.0,68.0,143
130,0.0266416769118,25.2313706717,2.045347508,1.43843164152,192.58816758,102.500673209,24.32,988.729428571,1540.41444444,431.141219984,1.0,24.6388888889,94.9444444444,28.5648148148,11.5740740741,21.0555555556,5.13888888889,29.3046497585,10.0453703704,33.97175,927.74925,77.65525,313.6635,0.140173333333,0.176215789474,73,20.0,68.0,143
131,0.165926236033,30.412305241,1.82295381802,1.48092135345,192.58816758,102.500673209,24.32,1053.77186667,1540.41444444,431.141219984,1.0,5.61111111111,182.277777778,29.1111111111,15.5,21.4907407407,8.96296296296,32.0135869565,12.0268518519,36.27225,945.321,57.775,373.793,0.138193333333,0.174188461538,73,20.0,68.0,143
