,FAM,RWC,CWD,elevation_std,elevation_mean,ppt_sum,location,aspect_mean,aspect_std,vsm_sum,canopy_height,EVP_win,twi_mean
64,0.00012200626804,0.213659352877,810.37075,304.620849969,932.425555556,0.861111111111,34,180.138356767,102.521215406,0.0565102564103,20.8,97.00375,360.143759874
65,0.00012200626804,0.724365431646,738.704888889,304.620849969,932.425555556,9.33333333333,34,180.138356767,102.521215406,0.06207,20.8,102.35475,360.143759874
66,0.00024401253608,0.0940902021773,1013.97215385,304.620849969,932.425555556,2.02777777778,34,180.138356767,102.521215406,0.0875315789474,20.8,45.34725,360.143759874
67,0.000488025072161,0.883359253499,1169.53054545,304.620849969,932.425555556,2.72222222222,34,180.138356767,102.521215406,0.083901754386,20.8,50.0735,360.143759874
68,0.00805241385044,0.751166407465,1184.543875,304.620849969,932.425555556,1.66666666667,34,180.138356767,102.521215406,0.09019,20.8,57.9585,360.143759874
69,0.00951648888938,0.475116640747,1124.95541176,304.620849969,932.425555556,58.1944444444,34,180.138356767,102.521215406,0.0877694915254,20.8,90.7225,360.143759874
70,0.000123834252151,0.0493122543658,1067.57248649,208.670122146,551.388888889,1.0,37,186.748067001,101.036548518,0.138177777778,19.8,118.95125,384.811023622
71,0.000123834252151,0.266347052902,807.137714286,208.670122146,551.388888889,0.555555555556,37,186.748067001,101.036548518,0.146796875,19.8,127.02175,384.811023622
73,0.000123834252151,0.820357614225,1044.2671875,208.670122146,551.388888889,1.61111111111,37,186.748067001,101.036548518,0.143718421053,19.8,82.686,384.811023622
74,0.000371502783484,0.983585974904,1145.81243333,208.670122146,551.388888889,0.0,37,186.748067001,101.036548518,0.161457377049,19.8,108.12675,384.811023622
75,0.00433419906856,0.737375598461,1239.21183333,208.670122146,551.388888889,0.0,37,186.748067001,101.036548518,0.156944067797,19.8,49.84625,384.811023622
76,0.0215471607212,0.326113080772,1177.74818519,208.670122146,551.388888889,14.7777777778,37,186.748067001,101.036548518,0.152226666667,19.8,89.02175,384.811023622
77,0.000242915071967,0.585554425437,1013.59578378,273.360057718,939.213333333,1.41666666667,38,176.298561795,108.015649682,0.134403225806,21.12,100.29975,344.157977883
78,0.000121457535983,0.625171644014,767.337461538,273.360057718,939.213333333,0.444444444444,38,176.298561795,108.015649682,0.1403546875,21.12,106.86975,344.157977883
79,0.000364372634462,0.963066327095,718.315,273.360057718,939.213333333,6.61111111111,38,176.298561795,108.015649682,0.150581967213,21.12,103.73575,344.157977883
80,0.000364372634462,0.864318287883,1004.09953846,273.360057718,939.213333333,1.83333333333,38,176.298561795,108.015649682,0.155488636364,21.12,77.42775,344.157977883
81,0.000121457535983,0.837657723779,1122.39025,273.360057718,939.213333333,0.305555555556,38,176.298561795,108.015649682,0.144757627119,21.12,102.30225,344.157977883
82,0.00121457544821,0.42140891648,1144.102,273.360057718,939.213333333,0.0,38,176.298561795,108.015649682,0.139572413793,21.12,51.8335,344.157977883
83,0.0185830035799,0.00688014557519,1143.40753846,273.360057718,939.213333333,15.1666666667,38,176.298561795,108.015649682,0.131575862069,21.12,85.3975,344.157977883
91,0.000142105199734,0.00924900551825,1067.96353846,149.493821545,345.414444444,0.0,46,187.115525322,99.5729250635,0.148375806452,18.08,110.04725,437.995253165
92,0.000142105199734,0.394117162775,734.166825,149.493821545,345.414444444,0.388888888889,46,187.115525322,99.5729250635,0.1707015625,18.08,128.08075,437.995253165
93,0.00113684159787,0.405982663275,715.349296296,149.493821545,345.414444444,3.22222222222,46,187.115525322,99.5729250635,0.168233870968,18.08,118.129,437.995253165
94,0.0009947363878,0.961719862361,1032.68294118,149.493821545,345.414444444,0.0277777777778,46,187.115525322,99.5729250635,0.168974418605,18.08,72.93375,437.995253165
95,0.000142105199734,0.933465475057,1092.87185714,149.493821545,345.414444444,0.0,46,187.115525322,99.5729250635,0.176460344828,18.08,107.25675,437.995253165
96,0.000142105199734,0.852348040537,1217.3435,149.493821545,345.414444444,0.333333333333,46,187.115525322,99.5729250635,0.182993442623,18.08,42.40175,437.995253165
97,0.00895262782107,0.764850583078,1168.62659259,149.493821545,345.414444444,26.4166666667,46,187.115525322,99.5729250635,0.190146031746,18.08,76.06925,437.995253165
98,0.000134685754521,0.563274265113,1080.01810811,182.885762802,644.425555556,0.444444444444,47,182.775511134,102.480770877,0.127716129032,18.48,77.4315,393.549050633
99,0.000134685754521,0.701333255047,753.531785714,182.885762802,644.425555556,0.222222222222,47,182.775511134,102.480770877,0.1386546875,18.48,107.5965,393.549050633
100,0.000134685754521,0.956050786569,734.7958,182.885762802,644.425555556,8.11111111111,47,182.775511134,102.480770877,0.145944262295,18.48,105.1995,393.549050633
101,0.000404057292963,0.770570643715,1057.71537931,182.885762802,644.425555556,0.444444444444,47,182.775511134,102.480770877,0.154959183673,18.48,62.5055,393.549050633
102,0.000134685754521,0.715060786061,1115.22251163,182.885762802,644.425555556,0.0,47,182.775511134,102.480770877,0.132124193548,18.48,113.67525,393.549050633
103,0.00121217180049,0.334310072294,1243.7114,182.885762802,644.425555556,0.0,47,182.775511134,102.480770877,0.124466101695,18.48,40.47375,393.549050633
104,0.0273412100788,0.00281458433175,1169.68985714,182.885762802,644.425555556,23.9166666667,47,182.775511134,102.480770877,0.119978333333,18.48,95.69375,393.549050633
126,0.00455712874497,0.662852312753,791.603806452,431.141219984,1540.41444444,0.222222222222,73,192.58816758,102.500673209,0.139817460317,24.32,79.1875,307.5344
127,0.0719792658421,0.833575776633,682.373076923,431.141219984,1540.41444444,0.305555555556,73,192.58816758,102.500673209,0.145388888889,24.32,71.994,307.5344
128,0.0302640104911,0.975014558753,674.331204082,431.141219984,1540.41444444,9.36111111111,73,192.58816758,102.500673209,0.143593333333,24.32,60.844,307.5344
129,0.0128534403289,0.598610535542,879.628244898,431.141219984,1540.41444444,1.86111111111,73,192.58816758,102.500673209,0.129082692308,24.32,76.99125,307.5344
130,0.0266416769118,0.604210259915,988.729428571,431.141219984,1540.41444444,24.6388888889,73,192.58816758,102.500673209,0.140173333333,24.32,77.65525,307.5344
131,0.165926236033,0.316757742069,1053.77186667,431.141219984,1540.41444444,5.61111111111,73,192.58816758,102.500673209,0.138193333333,24.32,57.775,307.5344
132,0.429304898281,0.0526374091122,1060.87711429,431.141219984,1540.41444444,16.7222222222,73,192.58816758,102.500673209,0.129662068966,24.32,80.872,307.5344
140,0.00011242194822,0.0973827527966,847.38925,275.210078813,696.754444444,3.38888888889,78,170.742372104,102.307228142,0.242112698413,23.52,89.907,338.495987159
141,0.000674531738401,0.0259462697762,603.619230769,275.210078813,696.754444444,0.0,78,170.742372104,102.307228142,0.239269354839,23.52,97.26125,338.495987159
142,0.000337265869201,0.22340749171,687.7263,275.210078813,696.754444444,0.0,78,170.742372104,102.307228142,0.25822238806,23.52,98.06525,338.495987159
143,0.00168632928057,0.899963012735,906.81125,275.210078813,696.754444444,0.25,78,170.742372104,102.307228142,0.266748888889,23.52,87.9425,338.495987159
144,0.00123664145496,0.814159340509,980.394333333,275.210078813,696.754444444,1.97222222222,78,170.742372104,102.307228142,0.248526315789,23.52,128.33525,338.495987159
145,0.00674531712226,0.761667682206,1085.60252174,275.210078813,696.754444444,0.972222222222,78,170.742372104,102.307228142,0.255237735849,23.52,81.8625,338.495987159
146,0.0143900093722,0.927218296853,989.4809375,275.210078813,696.754444444,6.83333333333,78,170.742372104,102.307228142,0.267036363636,23.52,149.67375,338.495987159
147,0.0256249991556,0.696756296478,787.478857143,477.420441845,1786.36444444,0.472222222222,83,189.76432886,100.318948098,0.139074603175,29.36,69.871,289.6704
148,0.111979168529,0.879652170244,649.358510638,477.420441845,1786.36444444,1.36111111111,83,189.76432886,100.318948098,0.142333333333,29.36,65.54175,289.6704
149,0.0271875003818,0.95380706778,627.335326531,477.420441845,1786.36444444,16.75,83,189.76432886,100.318948098,0.143966666667,29.36,61.0225,289.6704
