,FAM,live_basal_area,LAI_sum,LAI_win,RWC,aspect_mean,aspect_std,canopy_height,CWD,elevation_mean,elevation_std,forest_cover,ppt_sum,ppt_win,tmax_sum,tmax_win,tmean_sum,tmean_win,vpdmax_sum,vpdmax_win,EVP_sum,PEVAP_sum,EVP_win,PEVAP_win,vsm_sum,vsm_win,location,silt_fraction,sand_fraction,twi_mean,twi_std,ndwi_sum,ndwi_win
13,0.000141781825376,3.24217880824,0.821555555556,1.00153333333,0.733338553145,192.879837931,101.729719501,13.12,1132.766,333.022222222,176.853886822,0.705309,64.2777777778,68.8888888889,30.4351851852,22.5925925926,24.0925925926,15.9814814815,27.8949275362,20.0398148148,65.067,594.8265,70.28125,296.943,0.113080701754,0.104838,8.0,0.31,0.56,472.753869969,263.687936707,-0.119397514618,-0.0715554592962
15,0.00138540459815,19.0118703553,1.38192204301,0.725470430108,0.624569358479,183.635917282,106.327255375,21.56,762.185083333,2096.12111111,493.216781051,0.866173,6.94444444444,550.916666667,26.0833333333,9.59259259259,18.462962963,3.59259259259,25.2995169082,8.46697530864,108.5845,903.799,63.6935,335.55875,0.05016,0.0612454545455,18.0,0.31,0.51,276.068642746,146.891912567,-0.0544273678665,-3.69377328231e-05
17,0.00173175568049,19.0118703553,1.40201612903,1.08368055556,0.416904852164,183.635917282,106.327255375,21.56,883.998104167,2096.12111111,493.216781051,0.866173,36.7222222222,145.5,26.4814814815,11.4166666667,19.1666666667,4.83333333333,25.6745169082,11.166971917,48.268,852.775,52.32525,410.89375,0.0483846153846,0.0588666666667,18.0,0.31,0.51,276.068642746,146.891912567,-0.0686798965805,-0.0448818290417
18,0.000230900749559,17.3195221091,1.22239023297,0.982862903226,0.259372949537,183.635917282,106.327255375,21.56,1004.81405128,2096.12111111,493.216781051,0.866173,48.0277777778,125.333333333,25.8240740741,10.8611111111,18.7314814815,4.38888888889,25.5075483092,10.3,37.0135,791.64825,54.234,389.36375,0.0532770833333,0.0680821428571,18.0,0.31,0.51,276.068642746,146.891912567,-0.0720339345873,-0.0332659231798
19,0.00150085491413,20.1932754132,1.21423611111,1.00271057348,0.290435578224,183.635917282,106.327255375,21.56,938.315108108,2096.12111111,493.216781051,0.866173,57.75,206.583333333,25.8148148148,13.6666666667,18.6018518519,6.98148148148,25.0467995169,13.1283950617,47.15925,773.46875,44.6255,430.7005,0.05704,0.0645230769231,18.0,0.31,0.51,276.068642746,146.891912567,-0.0762248229427,-0.0599845008048
20,0.0184720613087,19.5402474825,1.17676971326,0.991991487455,0.0508095854953,183.635917282,106.327255375,21.56,888.485828571,2096.12111111,493.216781051,0.866173,88.25,88.8888888889,24.8703703704,13.1759259259,17.9537037037,6.99074074074,23.3916062802,11.999691358,100.27875,842.519,82.354,388.307,0.0495,0.0620386363636,18.0,0.31,0.51,276.068642746,146.891912567,-0.0678029472895,-0.038400561281
35,0.000121257534608,8.46121874685,1.10006756757,1.2278490991,0.0232790502927,181.90534712,103.32661807,21.6,967.4669375,738.184444444,399.06878185,0.824691,1.41666666667,227.444444444,31.9814814815,17.2962962963,23.5925925926,11.25,36.9598429952,13.3145061728,34.77725,860.1005,134.97525,379.5175,0.15765625,0.182053225806,29.0,0.37,0.38,345.46310832,206.412598276,-0.122744464799,-0.0624585373261
36,0.00509281640062,7.21278336235,1.32384009009,1.34876126126,0.197871927488,181.90534712,103.32661807,21.6,738.1138,738.184444444,399.06878185,0.824691,0.388888888889,415.444444444,29.8796296296,16.7685185185,21.787037037,10.7685185185,31.2536231884,12.1064814815,45.667,822.81,129.03125,349.50575,0.1672640625,0.20166,29.0,0.37,0.38,345.46310832,206.412598276,-0.0938110945252,-0.0549615986251
37,0.000363772630293,9.71800103205,1.39709459459,1.27081081081,0.337308687914,181.90534712,103.32661807,21.6,665.072076923,738.184444444,399.06878185,0.824691,1.80555555556,438.333333333,30.2407407407,16.5462962963,22.037037037,10.5,31.3294082126,12.6598765432,55.187,805.9205,123.77225,342.32075,0.17815,0.185318518519,29.0,0.37,0.38,345.46310832,206.412598276,-0.0861096941539,-0.0630258606318
39,0.00206137816775,7.47941408418,0.97152027027,1.19507882883,0.985767803745,181.90534712,103.32661807,21.6,1032.88327273,738.184444444,399.06878185,0.824691,0.777777777778,94.8055555556,30.6481481481,17.5740740741,22.8055555556,10.9351851852,33.422705314,14.237037037,22.33475,831.42575,128.45125,420.44725,0.191401694915,0.2184875,29.0,0.37,0.38,345.46310832,206.412598276,-0.130173160433,-0.0801925421698
